Player,Position,Team,Player,Position,Team,Eisenberg_ranking,Richards_ranking,Cummings_ranking,My_Ranking,Nickname,Full Name,Overall Rating,Position,Age,Speed,Acceleration,Awareness,Agility,Strength,Throw Power,Stamina,Carrying,Catching,Jumping,Tackle,Injury,Jersey Number, Total Salary , Signing Bonus ,Years Pro,Height,Weight,Birthdate,College,Player,Team
C. Kupp,WR,LAR,C. Kupp,WR,LAR,4,8,2,4.67,Rams,Cooper Kupp,89,WR,27,88,91,93,95,65,48,88,78,95,78,31,89,10,"$4,070,000.00 ","$950,000.00 ",3,74,208,6/15/1993,Eastern Wash.,C. Kupp,LAR
J. Jefferson,WR,MIN,J. Jefferson,WR,MIN,7,9,5,7.0,Vikings,Justin Jefferson,74,WR,21,91,90,73,89,56,29,85,74,83,89,36,89,18,"$13,120,000.00 ","$7,100,000.00 ",0,73,202,6/16/1999,LSU,J. Jefferson,MIN
T. Kelce,TE,KC,T. Kelce,TE,KC,11,14,11,12.0,Chiefs,Travis Kelce,97,TE,30,85,88,98,87,79,64,98,68,90,92,45,88,87,"$36,050,000.00 ","$11,100,000.00 ",7,77,260,10/5/1989,Cincinnati,T. Kelce,KC
S. Diggs,WR,BUF,S. Diggs,WR,BUF,12,13,14,13.0,Bills,Stefon Diggs,92,WR,26,92,94,92,93,62,46,86,71,92,89,27,87,14,"$47,910,000.00 ","$17,060,000.00 ",5,72,191,11/29/1993,Maryland,S. Diggs,BUF
M. Andrews,TE,BAL,M. Andrews,TE,BAL,23,26,12,20.33,Ravens,Mark Andrews,86,TE,24,86,90,92,80,79,25,94,73,86,88,27,88,89,"$2,620,000.00 ","$820,000.00 ",2,77,253,9/6/1995,Oklahoma,M. Andrews,BAL
M. Evans,WR,TB,M. Evans,WR,TB,18,20,24,20.67,Buccaneers,Mike Evans,92,WR,27,91,90,98,85,79,35,97,76,90,97,39,91,13,"$49,250,000.00 ","$46,510,000.00 ",6,77,231,8/21/1993,Texas AM,M. Evans,TB
C. Lamb,WR,DAL,C. Lamb,WR,DAL,15,21,26,20.67,Cowboys,CeeDee Lamb,75,WR,21,90,90,76,90,69,37,90,74,84,86,38,93,88,"$14,000,000.00 ","$7,740,000.00 ",0,74,198,4/8/1999,Oklahoma,C. Lamb,DAL
K. Allen,WR,LAC,K. Allen,WR,LAC,19,24,23,22.0,Chargers,Keenan Allen,91,WR,28,89,91,96,92,72,35,95,80,90,92,34,83,13,"$40,160,000.00 ","$10,670,000.00 ",7,74,211,4/27/1992,California,K. Allen,LAC
D. Samuel,WR,SF,D. Samuel,WR,SF,27,22,25,24.67,49ers,Deebo Samuel,80,WR,24,92,91,84,87,76,39,79,73,84,92,46,91,19,"$3,010,000.00 ","$4,230,000.00 ",1,71,215,1/15/1996,South Carolina,D. Samuel,SF
D. Moore,WR,CAR,D. Moore,WR,CAR,25,34,22,27.0,Panthers,D.J. Moore,85,WR,23,93,93,92,93,66,43,88,73,91,94,30,93,12,"$4,970,000.00 ","$6,200,000.00 ",2,71,215,4/14/1997,Maryland,D. Moore,CAR
